Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-05-31T23:55:45;1748735745;43.50739;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;167.1;4G_1056401;;0
2025-05-31T23:50:48;1748735448;43.50739;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;167.3;4G_1056401;;0
2025-05-31T23:45:47;1748735147;43.50748;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;166.9;4G_1056401;;0.01
2025-05-31T23:40:47;1748734847;43.50744;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T23:35:45;1748734545;43.50741;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;167.2;4G_1056401;;0.01
2025-05-31T23:30:48;1748734248;43.50743;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166.6;4G_1056401;;0.01
2025-05-31T23:25:48;1748733948;43.50741;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.9;4G_1056401;;0.01
2025-05-31T23:20:45;1748733645;43.50742;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166.8;4G_1056401;;0.01
2025-05-31T23:15:47;1748733347;43.50741;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;167.1;4G_1056401;;0.01
2025-05-31T23:10:47;1748733047;43.50746;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.4;4G_1056401;;0.01
2025-05-31T23:05:45;1748732745;43.50744;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T23:00:45;1748732445;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T22:45:47;1748731547;43.5074;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T22:40:45;1748731245;43.50743;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T22:35:48;1748730948;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T22:30:47;1748730647;43.5074;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;166.9;4G_1056401;;0.01
2025-05-31T22:25:48;1748730348;43.5074;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.7;4G_1056401;;0.01
2025-05-31T22:20:48;1748730048;43.50743;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T22:15:44;1748729744;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T22:10:45;1748729445;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T22:05:48;1748729148;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T22:00:44;1748728844;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T21:55:47;1748728547;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T21:50:48;1748728248;43.50739;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T21:45:44;1748727944;43.50743;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T21:40:44;1748727644;43.50742;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.6;4G_1056401;;0.01
2025-05-31T21:35:44;1748727344;43.50739;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T21:30:48;1748727048;43.50747;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T21:25:47;1748726747;43.5074;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T21:20:45;1748726445;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T21:15:48;1748726148;43.50739;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T21:10:44;1748725844;43.50743;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166.7;4G_1056401;;0.01
2025-05-31T21:05:47;1748725547;43.5074;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.4;4G_1056401;;0.01
2025-05-31T21:00:48;1748725248;43.50742;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166.1;4G_1056401;;0.01
2025-05-31T20:55:45;1748724945;43.50738;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.6;4G_1056401;;0.01
2025-05-31T20:50:44;1748724644;43.50744;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T20:45:45;1748724345;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:40:45;1748724045;43.5074;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:35:47;1748723747;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:30:47;1748723447;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.1;4G_1056401;;0.01
2025-05-31T20:25:48;1748723148;43.50742;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T20:20:48;1748722848;43.50743;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:15:47;1748722547;43.5074;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:10:47;1748722247;43.50739;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.1;4G_1056401;;0.01
2025-05-31T20:05:47;1748721947;43.50737;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T20:00:45;1748721645;43.5074;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T19:55:48;1748721348;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.3;4G_1056401;;0.01
2025-05-31T19:50:44;1748721044;43.50742;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.4;4G_1056401;;0.01
2025-05-31T19:45:47;1748720747;43.50741;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;166.5;4G_1056401;;0.01
2025-05-31T19:40:45;1748720445;43.5074;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166.5;4G_1056401;;0.01
2025-05-31T19:35:48;1748720148;43.50738;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T19:30:45;1748719845;43.5074;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;166.1;4G_1056401;;0.01
2025-05-31T19:25:47;1748719547;43.50738;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166.2;4G_1056401;;0.01
2025-05-31T19:20:45;1748719245;43.50743;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T19:15:48;1748718948;43.50743;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T19:10:48;1748718648;43.5074;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T19:05:47;1748718347;43.50739;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T19:00:47;1748718047;43.50743;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T18:55:48;1748717748;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:50:48;1748717448;43.50742;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:45:48;1748717148;43.50741;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:40:47;1748716847;43.5074;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:35:48;1748716548;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:30:45;1748716245;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.7;4G_1056401;;0.01
2025-05-31T18:25:47;1748715947;43.50742;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;165.7;4G_1056401;;0.01
2025-05-31T18:20:47;1748715647;43.50741;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:15:44;1748715344;43.50741;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T18:10:44;1748715044;43.50744;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T18:05:48;1748714748;43.50743;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T18:00:48;1748714448;43.50741;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:55:48;1748714148;43.50743;"43° 30' 27"" N";-1.49549;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:50:47;1748713847;43.50738;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:45:47;1748713547;43.5074;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:40:45;1748713245;43.5074;"43° 30' 27"" N";-1.49549;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:35:48;1748712948;43.50741;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:30:48;1748712648;43.50739;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:25:47;1748712347;43.50741;"43° 30' 27"" N";-1.4955;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:20:48;1748712048;43.50742;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T17:15:48;1748711748;43.5074;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T17:10:44;1748711444;43.50738;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;166;4G_1056401;;0.01
2025-05-31T17:05:47;1748711147;43.5074;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T17:00:48;1748710848;43.50738;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.9;4G_1056401;;0.01
2025-05-31T16:55:48;1748710548;43.50741;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T16:50:45;1748710245;43.50739;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T16:45:47;1748709947;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T16:40:44;1748709644;43.50739;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T16:35:48;1748709348;43.50739;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
2025-05-31T16:30:45;1748709045;43.5074;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.8;4G_1056401;;0.01
