Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-01-31T23:55:48;1738367748;43.50736;"43° 30' 26"" N";-1.49566;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T23:50:47;1738367447;43.50735;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;162.9;4G_1056401;;0
2025-01-31T23:45:48;1738367148;43.50736;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;162.9;4G_1056401;;0
2025-01-31T23:40:48;1738366848;43.50737;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;162.9;4G_1056401;;0
2025-01-31T23:35:48;1738366548;43.50735;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;162.8;4G_1056401;;0
2025-01-31T23:30:47;1738366247;43.50737;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;162.9;4G_1056401;;0
2025-01-31T23:25:48;1738365948;43.50739;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;162.9;4G_1056401;;0
2025-01-31T23:20:48;1738365648;43.50739;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;163.1;4G_1056401;;0
2025-01-31T23:15:47;1738365347;43.50733;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163.1;4G_1056401;;0
2025-01-31T23:10:48;1738365048;43.50735;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;163.2;4G_1056401;;0
2025-01-31T23:05:45;1738364745;43.50736;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163;4G_1056401;;0
2025-01-31T23:00:48;1738364448;43.50736;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163;4G_1056401;;0
2025-01-31T22:55:47;1738364147;43.50736;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T22:50:47;1738363847;43.5074;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163;4G_1056401;;0
2025-01-31T22:45:45;1738363545;43.50737;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T22:40:48;1738363248;43.50738;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T22:35:48;1738362948;43.50734;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;163;4G_1056401;;0
2025-01-31T22:30:47;1738362647;43.50738;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;163.2;4G_1056401;;0
2025-01-31T22:25:48;1738362348;43.50736;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T22:20:48;1738362048;43.50737;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;163.1;4G_1056401;;0
2025-01-31T22:15:48;1738361748;43.50735;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;163.2;4G_1056401;;0
2025-01-31T22:10:45;1738361445;43.50737;"43° 30' 27"" N";-1.4958;"001° 29' 45"" W";0;163;4G_1056401;;0
2025-01-31T22:05:47;1738361147;43.50735;"43° 30' 26"" N";-1.49575;"001° 29' 45"" W";0;163.3;4G_1056401;;0
2025-01-31T22:00:47;1738360847;43.50738;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163;4G_1056401;;0
2025-01-31T21:55:48;1738360548;43.50736;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;163.5;4G_1056401;;0
2025-01-31T21:50:48;1738360248;43.50741;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;163.5;4G_1056401;;0
